"CO_SEQ_ID";"NU_VTMID";"DT_VTMIDDT";"CO_VTMIDPREV";"ST_INVALID";"NO_NM";"NO_ABBREVNM";"AU_AUDIT_CREATE_DATETIME";"AU_AUDIT_CHANGE_DATETIME";"AU_AUDIT_CREATE_USERNAME";"AU_AUDIT_CHANGE_USERNAME";"NU_VERSION";"ST_REGISTRO_ATIVO";"ST_CHANGE_APPROVE"
"790662";"@brasil9633735278";;;;"Nitisinona";"Nitisinona";"1688666209";"1688666209";"65";"1";;"ACTIVE";"APPROVED"
"790663";"@brasil6574061851";;;;"Nusinersena";"Nusinersena";"1688666534";"1688666534";"65";"1";;"ACTIVE";"APPROVED"
"790664";"@brasil3747858160";;;;"Ocrelizumabe";"Ocrelizumabe";"1688666648";"1688666648";"65";"1";;"ACTIVE";"APPROVED"
"790665";"@brasil7737358670";;;;"Palbociclibe";"Palbociclibe";"1688667726";"1688667726";"65";"1";;"ACTIVE";"APPROVED"
"790666";"@brasil5386736392";;;;"Sacubitril Valsartana Sódica";"Sacubitril Valsartana Sódica";"1688728942";"1688733363";"65";"1";;"ACTIVE";"APPROVED"
"790667";"@brasil5477263993";;;;"Azul patente";"Azul patente";"1688734734";"1688734734";"65";"1";;"ACTIVE";"APPROVED"
"790668";"@brasil6052066989";;;;"Selexipague";"Selexipague";"1688739441";"1688739441";"65";"1";;"ACTIVE";"APPROVED"
"790669";"@brasil8294051927";;;;"Selumetinibe";"Selumetinibe";"1688740661";"1688740661";"65";"1";;"ACTIVE";"APPROVED"
"790670";"@brasil2883061356";;;;"Semaglutida";"Semaglutida";"1688740949";"1688740949";"65";"1";;"ACTIVE";"APPROVED"
"790671";"@brasil0018281343";;;;"Serenoa repens";"Serenoa repens";"1688741407";"1688741407";"65";"1";;"ACTIVE";"APPROVED"
"790672";"@brasil6701123819";;;;"Sofosbuvir + Velpatasvir";"Sofosbuvir +  Velpatasvir";"1688748350";"1688748350";"65";"1";;"ACTIVE";"APPROVED"
