"id_vtm";"codigo_obm";"nome_vtm";"nome_vtm_abreviado";"ingredientes_cod_nome"
"790562";"@brasil3984469245";"Vacina Humana, Adsorvida, Difteria, Tétano, Pertussis + Hepatite B + Haemophilus Influenzae Tipo B";;"443457 - vacina adsorvida difteria, tétano, pertussis, hepatite b (recombinante) e haemophilus influenzae b (conjugada)"
"790564";"@brasil6799686094";"Vacina Humana, Anti-hpv (Papiloma Vírus), Tetravalente";;"443491 - vacina papilomavírus humano 6, 11, 16 e 18 (recombinante)"
"790567";"@brasil4854167140";"Vacina Papilomavírus Humano 16 e 18 (recombinante)";;"443490 - vacina papilomavírus humano 16 e 18 (recombinante)"
"11883";"@brasil12304806142";"Valaciclovir";;
"11884";"@brasil16911446233";"Valerato de Estradiol + Dienogeste";;
"11885";"@brasil17642813050";"Valeriana officinalis";;
"11886";"@brasil17479726863";"Valeriana officinalis + Humulus lupulus";;
"11887";"@brasil14470195474";"Valganciclovir";;
"11888";"@brasil19911797091";"Valproato de Sódio";;
"11889";"@brasil16148399342";"Valsartana";;
"11890";"@brasil11006605746";"Valsartana +  Hidroclorotiazida";;
"11891";"@brasil16587831009";"Valsartana +  Hidroclorotiazida + Anlodipino";;
"11282";"@brasil18001287855";"Valsartana + Anlodipino";;
"43157";"@brasil15527746653";"Vancomicina";;
"289034";"@brasil16721911034";"Vandetanibe";;
"11892";"@brasil19919338121";"Vardenafila";;
"11893";"@brasil19833197889";"Vareniclina";;
"11894";"@brasil19407975391";"Varfarina";;
"412570";"@brasil10208180601";"Varfarina";;
"11895";"@brasil17540283599";"Varfarina Sódica";;
"43158";"@brasil14208170308";"Vasopressina";;
"289035";"@brasil12942310899";"Vecurônio";;
"289036";"@brasil14545821699";"Vedolizumabe";;
"11896";"@brasil19477492130";"Vemurafenibe";;
"11897";"@brasil14766610165";"Venlafaxina";;
"11898";"@brasil15400574741";"Verapamil";;
"289037";"@brasil13902176108";"Verteporfina";;
"11899";"@brasil12703043521";"Vigabatrina";;
"11900";"@brasil17313493690";"Vildagliptina";;
"11901";"@brasil18458338199";"Vildagliptina + Metformina";;
"43159";"@brasil14457611891";"Vimblastina";;
"43219";"@brasil11008962737";"Viminol";;
"11902";"@brasil10351210235";"Vimpocetina";;
"43161";"@brasil19663548839";"Vincristina";;
"289038";"@brasil15873415753";"Vinflunina";;
"11903";"@brasil16381036885";"Vinorelbina";;
"790529";"@brasil17171412469";"Violeta de Genciana";;
"503142";"@brasil14643872029";"Vismodegibe";;
"790524";"@brasil17957204492";"Vitaminas do Complexo B (B1, B2, B3, B5, B6)";;
"790525";"@brasil14462040721";"Vitaminas do Complexo B (B1, B2, B3, B6, B12)";;
"790527";"@brasil18806830324";"Vitaminas do Complexo B (B1, B2, B6, B12 e PP)";;
"790526";"@brasil18438590435";"Vitaminas do Complexo B (B1, B6, B12)";;
"790528";"@brasil18718380626";"Vitaminas do Complexo B (B7, B9, B12)";;
"43220";"@brasil15140392420";"Vitelinato de Prata";;
"11904";"@brasil10851554032";"Vitis Vinifera";;
"11905";"@brasil15114659809";"Voriconazol";;
"412566";"@brasil14423221445";"Vortioxetina";;
"43221";"@brasil12675074200";"Xilazina";;
"289039";"@brasil17660550750";"Xilometazolina";;
"289040";"@brasil10682506802";"Zafirlucaste";;
"43164";"@brasil14944908836";"Zanamivir";;
"11906";"@brasil13018637263";"Zidovudina";;
"11907";"@brasil19749207196";"Zidovudina + Lamivudina";;
"11908";"@brasil19690124502";"Ziprasidona";;
"289041";"@brasil10430882069";"Zolmitriptana";;
"11909";"@brasil19203001230";"Zolpidem";;
"11910";"@brasil16944632954";"Zopiclona";;
"11911";"@brasil17114161388";"Zuclopentixol";;
