id	effectiveTime	active	moduleId	refsetId	referencedComponentId	name	
c8b4e6a3-57c4-4295-bd2a-4f09b61b5d56		1	900000000000207008	TMP-qpi9lt	256353000	Hazelnut	
e7fbdae2-bbd6-4a52-acbb-acb2b917bd17		1	900000000000207008	TMP-qpi9lt	256352005	Walnut - nut	
a93e20c1-af9a-490f-b0ac-4802dab2f434		1	900000000000207008	TMP-qpi9lt	256350002	Almond	
7627cfb1-3744-4d81-a32e-6f34e59dce11		1	900000000000207008	TMP-qpi9lt	256326004	Celery	
2d8a48f1-ee6c-484a-8cb4-45e8d01b3596		1	900000000000207008	TMP-qpi9lt	256319004	Carrot	
f7b065c9-5c2b-4456-91df-c861440f56e8		1	900000000000207008	TMP-qpi9lt	256313003	Pineapple	
66dc8ff3-2ee2-41af-ac0e-86fb6dbe6b51		1	900000000000207008	TMP-qpi9lt	256307007	Banana	
be9c3190-2052-4532-b6e7-3d976b9451af		1	900000000000207008	TMP-qpi9lt	256306003	Orange - fruit	
3717df0c-a0d6-4ecb-b841-d8969f71f5ab		1	900000000000207008	TMP-qpi9lt	256305004	Tree resin	
edb26f11-811c-4dcb-8ae4-bdca583c6010		1	900000000000207008	TMP-qpi9lt	256303006	Ragweed pollen	
6bccf1e7-a677-4816-8399-be1ca5e9e7d1		1	900000000000207008	TMP-qpi9lt	256292005	Flower and weed pollen	
4189694f-c30a-4d8d-bd59-4ffd4e0127dd		1	900000000000207008	TMP-qpi9lt	256277009	Grass pollen	
057251fc-e233-4699-9d06-efd459270e2b		1	900000000000207008	TMP-qpi9lt	256260009	Tree and shrub pollen	
92aa1cd3-3f94-41f0-aada-87d080a29f12		1	900000000000207008	TMP-qpi9lt	256259004	Pollen	
ebb1a83d-c22b-47e2-a390-b3e5be46de2e		1	900000000000207008	TMP-qpi9lt	255667006	Paraffin	
ead5c82f-0ad1-473d-9bfa-3728a672b8c3		1	900000000000207008	TMP-qpi9lt	255640000	Biocide	
abf14bd5-f1f1-44ba-a962-f133e80bba7e		1	900000000000207008	TMP-qpi9lt	255620007	Food	
0736e451-3738-4a95-8d4e-5a22c59e8206		1	900000000000207008	TMP-qpi9lt	235719002	Intolerance to food	
d7a26f50-abb9-41ab-9580-7a61c12fb0d5		1	900000000000207008	TMP-qpi9lt	232350006	Allergy to dust mite protein	
70d27056-5c97-4537-82f5-c2b305ca10c1		1	900000000000207008	TMP-qpi9lt	230034002	Nuts and seeds	
b3ce9579-8bb8-4490-9d64-a7b9b7240f11		1	900000000000207008	TMP-qpi9lt	227538001	Pickle	
c080de60-2cbb-4f0c-bfb3-0ff7e8f1e479		1	900000000000207008	TMP-qpi9lt	227512001	Pistachio nut	
637009b9-4411-4ba5-ae4d-12de3087d210		1	900000000000207008	TMP-qpi9lt	227511008	Pine nut	
7055b2dc-e0b6-476b-b874-1a09ab383b15		1	900000000000207008	TMP-qpi9lt	227493005	Cashew nut	
6807d51f-c92c-4f91-8932-c7c94247d2de		1	900000000000207008	TMP-qpi9lt	227444000	Raspberries	
b7e85108-cbf6-47d8-913c-5ad96a24023f		1	900000000000207008	TMP-qpi9lt	227425007	Figs	
5487d5ce-c3fe-465d-b000-155225a93507		1	900000000000207008	TMP-qpi9lt	227408005	Paprika	
1a4ce7b5-5db5-4095-972a-7076a1b0d932		1	900000000000207008	TMP-qpi9lt	227400003	Ginger	
1b6f2902-2bec-4cfa-a32f-7bfdb67c26ca		1	900000000000207008	TMP-qpi9lt	227395004	Curry powder	
3b9d9661-a60a-4cd1-a77b-cbe920a0a083		1	900000000000207008	TMP-qpi9lt	227389000	Clove	
417f1a6d-9d1d-4183-a38c-3c136fceabc3		1	900000000000207008	TMP-qpi9lt	227388008	Cinnamon	
4f7f84e6-1bee-406e-bb6f-e12995dd92f2		1	900000000000207008	TMP-qpi9lt	227374009	Herbs and spices	
2d437c90-c2f7-4e2c-8d6a-e8f510ea8af0		1	900000000000207008	TMP-qpi9lt	227313005	Pulse vegetable	
d1903b53-e4ec-4236-b9dc-d141cf098804		1	900000000000207008	TMP-qpi9lt	227150003	Mussel	
5440dbcf-f7a3-43da-832e-a3b79d508897		1	900000000000207008	TMP-qpi9lt	227144008	Tuna fish	
83f9378b-a7d6-4c5d-aded-c9d24985c616		1	900000000000207008	TMP-qpi9lt	226934003	Pork	
f4304253-a2bd-41cf-9fda-01fddb1f86ed		1	900000000000207008	TMP-qpi9lt	226915003	Red meat	
d9821d99-b851-40c3-9a50-bd4437f6508d		1	900000000000207008	TMP-qpi9lt	226491003	Apple juice	
85a8f2a4-9a1a-41f8-9863-a69731f40dcc		1	900000000000207008	TMP-qpi9lt	128489003	Sand	
2b4b82c4-ccc0-4f74-a145-b037de6e330f		1	900000000000207008	TMP-qpi9lt	128488006	House dust	
7a950363-a42f-45ac-a153-0d645139cf37		1	900000000000207008	TMP-qpi9lt	119417004	Organophosphate insecticide	
