"codigo_ciap";"codigo_cid10";"id_ciap";"id_cid10";"mais_frequente";"id_usuario_registro";"data_registro";"id_usuario_ultima_atualizacao";"data_ultima_atualizacao";"id_usuario_exclusao";"data_exclusao"
S76;A67;449;58;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;A68;31;59;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;A70;31;61;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
F86;A71;163;62;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;A75;31;64;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;A77;31;65;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;A79;31;67;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N70;A80;307;68;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N73;A81;310;69;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A82;30;70;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N71;A83;308;71;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N71;A84;308;72;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N71;A86;308;74;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N71;A87;308;75;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N73;A89;310;77;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A90;30;78;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A91;30;79;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A92;30;80;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A93;30;81;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A94;30;82;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A95;30;83;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A96;30;84;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A98;30;85;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;A99;30;86;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A72;B01;25;88;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S70;B02;443;89;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A76;B03;29;90;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A76;B04;29;91;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A71;B05;24;92;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A74;B06;27;93;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S03;B07;417;94;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A76;B09;29;96;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D72;B15;107;97;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D72;B16;107;98;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D72;B17;107;99;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D72;B18;107;100;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D72;B19;107;101;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B90;B20;75;102;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B90;B21;75;103;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B90;B22;75;104;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B90;B23;75;105;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B90;B24;75;106;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;B25;30;107;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D71;B26;106;108;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A75;B27;28;109;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
F70;B30;149;110;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;B34;30;112;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S74;B35;447;113;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S74;B36;447;114;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B38;31;116;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B39;31;117;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B40;31;118;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B41;31;119;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B42;31;120;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B43;31;121;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B44;31;122;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R83;B44;401;122;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B45;31;123;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B46;31;124;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B47;31;125;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B48;31;126;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B49;31;127;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A73;B50;26;128;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A73;B51;26;129;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A73;B52;26;130;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A73;B53;26;131;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A73;B54;26;132;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B55;31;133;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B57;31;135;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B59;31;137;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B60;31;138;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B64;31;139;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B65;131;140;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B66;131;141;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B67;131;142;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B68;131;143;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B69;131;144;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B70;131;145;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B71;131;146;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B72;131;147;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B73;131;148;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B74;131;149;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B75;131;150;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B76;131;151;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B77;131;152;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B78;131;153;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B79;131;154;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B80;131;155;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B81;131;156;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B82;131;157;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D96;B83;131;158;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S73;B85;446;159;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S72;B86;445;160;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S73;B87;446;161;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B89;31;163;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A70;B90;23;164;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N70;B91;307;165;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B92;31;166;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B95;31;168;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B96;31;169;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A77;B97;30;170;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A78;B99;31;171;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C00;112;172;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C01;112;173;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C02;112;174;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C03;112;175;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C04;112;176;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C05;112;177;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C06;112;178;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C07;112;179;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C08;112;180;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C09;403;181;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C10;403;182;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C11;403;183;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C12;403;184;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C13;403;185;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C15;112;187;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D74;C16;109;188;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C17;112;189;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D75;C18;110;190;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D75;C19;110;191;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D75;C20;110;192;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D75;C21;110;193;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C22;112;194;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C23;112;195;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C24;112;196;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D76;C25;111;197;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C26;112;198;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C31;403;200;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C32;403;201;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R84;C33;402;202;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R84;C34;402;203;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B74;C37;63;204;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
R85;C39;403;206;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
L71;C40;263;207;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
L71;C41;263;208;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S77;C43;450;209;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
S77;C44;450;210;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N74;C47;311;213;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
D77;C48;112;214;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
L71;C49;263;215;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X76;C50;606;216;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
Y78;C50;650;216;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X77;C51;607;217;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X77;C52;607;218;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X75;C53;605;219;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X77;C54;607;220;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X77;C55;607;221;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X77;C56;607;222;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
X77;C57;607;223;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
W72;C58;551;224;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
Y78;C60;650;225;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
Y77;C61;649;226;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
Y78;C62;650;227;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
Y78;C63;650;228;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
U75;C64;520;229;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
U75;C65;520;230;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
U77;C66;522;231;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
U76;C67;521;232;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
U77;C68;522;233;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
F74;C69;153;234;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N74;C70;311;235;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N74;C71;311;236;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
N74;C72;311;237;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
T71;C73;487;238;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
T73;C74;489;239;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
T73;C75;489;240;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A79;C76;32;241;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B74;C77;63;242;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A79;C78;32;243;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A79;C79;32;244;0;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
A79;C80;32;245;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
B72;C81;61;246;1;1;"24 jun, 2022, 00:59";1;"24 jun, 2022, 00:59";"";""
