resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,3212,Medical and Pathology Laboratory Technicians,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3213,Pharmaceutical Technicians and Assistants,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3214,Medical and Dental Prosthetic Technicians,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,322,Nursing and Midwifery Associate Professionals,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3221,Nursing Associate Professionals,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3222,Midwifery Associate Professionals,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,323,Traditional and Complementary Medicine Associate Professionals,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3230,Traditional and Complementary Medicine Associate Professionals,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,324,Veterinary Technicians and Assistants,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3240,Veterinary Technicians and Assistants,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,325,Other Health Associate Professionals,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3251,Dental Assistants and Therapists,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3252,Medical Records and Health Information Technicians,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3253,Community Health Workers,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3254,Dispensing Opticians,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3255,Physiotherapy Technicians and Assistants,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3256,Medical Assistants,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3257,Environmental and Occupational Health Inspectors and Associates,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3258,Ambulance Workers,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,3259,Health Associate Professionals Not Elsewhere Classified,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,ILO,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
