resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,eng,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
Concept,,,,,,,,,,,,,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,ISCO,,,,,,,,,,,,,,,,,,,Fully Specified,eng
