resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:Ex_Num:int,attr:ex_name,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],attr:Bool_example:bool,attr:List_example:list,attr:JSON_example:json,parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,sort_weight,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions
Concept,usual,Usual,,,en,,,The identifier recommended for display and use in real-world interactions.,,,,,HL7,Organization,Dictionary,en, ,, ,,,,,,,,,,,,,,,,,, ,Text,Misc,IndentifierUse, ,, ,Fully Specified, , , , ,,,,,,,,,,,,,,
Concept,official,Official,,,en,,,"The identifier considered to be most trusted for the identification of this item. Sometimes also known as ""primary"" and ""main"". The determination of ""official"" is subjective and implementation guides often provide additional guidelines for use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,temp,Temp,,,en,,,A temporary identifier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,secondary,Secondary,,,en,,,"An identifier that was assigned in secondary use - it serves to identify the object in a relative context, but cannot be consistently assigned to the same object again in a different context.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,old,Old,,,en,,,"The identifier id no longer considered valid, but may be relevant for search purposes. E.g. Changes to identifier schemes, account merges, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
