resource_type,id,name,company,website,location,public_access,logo_url,attr:alpha3,attr:numeric,full_name,owner_id,owner_type,source_type,default_locale,description,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source
Concept,71,NICARAGUA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,72,PANAMA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,73,PANAMA(ZONA DO CANAL),,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,74,PORTO RICO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,75,QUITASUENO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,76,RONCADOR,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,77,SANTA LUCIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,78,SAO CRISTOVAO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,79,SAO VICENTE,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,80,ILHAS TURCA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,81,ILHAS VIRGENS BRITANICAS,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,82,ILHAS VIRGENS AMERICANAS,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,83,BERMUDAS,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,84,GROENLANDIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,85,MEXICO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,86,ST. PIERRE ET MIQUELON,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,87,GUIANA FRANCESA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,88,REPUBLICA GUIANA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
