,resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:Ex_Num,attr:ex_name,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:categoria,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
0,Concept,batata,Batata,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Batatas,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,baunilha,Baunilha,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Baunilha,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,borracha,Borracha,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Borracha,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,camarao,Camarão,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Derivados do camarão,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,canela,Canela,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Canela,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,caracol,Caracol,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Caramujo,Escargot,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,caranguejo,Caranguejo,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Caranguejo,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,carbaril,Carbaril,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Éster de ácido methilcarbamic 1-naphthil,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,carne,Carne,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Carnes,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,carne-ave,Carne de aves,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Carne de aves,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,carne-vermelha,Carne vermelha,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,castanha,Castanhas,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Frutos de casca dura,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,castanha-caju,Castanha de caju,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Caju,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,cebola,Cebola,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cebola,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,cenoura,Cenoura,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cenoura,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,centeio,Centeio,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Centeio,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,cereal,Cereal,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Flocos de cereais,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,cereja,Cereja,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cerejas,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,chocolate,Chocolate,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Chocolate,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,citrato,Citrato,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Ácido cítrico e derivados,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,clara-ovo,Clara do ovo,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Ovomucina,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,cloreto-metilbenzetonio,Cloreto de Metilbenzetônio,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cloreto de Metilbenzetônio,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,cobre,Cobre,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cobre,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,coco,Coco,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Coco,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,coelho,Coelho,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Carne de Coelho,,,,,,,,,,,food,,,,,,,Fully Specified,por
